,Latitude,Longitude,Year,Common_Name,day_mean,counts,day_std
80,40.412285,-76.924904,2015,red maple,299.6666666666667,3,4.618802153516998
81,40.412285,-76.924904,2016,black oak,311.0,3,7.0
82,40.412285,-76.924904,2016,red maple,279.57142857142856,7,19.466699282425388
83,40.412285,-76.924904,2017,black oak,310.0,1,
84,40.412285,-76.924904,2017,red maple,295.0,2,0.0
85,40.438656,-79.886581,2015,silver maple,308.3333333333333,3,6.658328118479399
86,40.537994,-78.412491,2017,northern red oak,308.55555555555554,9,9.15302014516399
87,40.537994,-78.412491,2017,red maple,308.55555555555554,9,9.15302014516399
88,40.563602,-78.076645,2016,sugar maple,292.0,1,
89,40.58538400000001,-75.521538,2017,flowering dogwood,257.5,4,9.574271077563385
90,40.58538400000001,-75.521538,2017,tuliptree,262.0,3,4.0
91,40.622581,-73.94619,2014,Norway maple,292.6666666666667,3,32.9292170167062
92,40.622581,-73.94619,2016,Norway maple,291.0,3,0.0
93,40.622581,-73.94619,2016,red maple,291.0,1,
94,40.633945,-75.662949,2011,flowering dogwood,301.0,1,
95,40.633945,-75.662949,2011,red maple,299.5,2,2.1213203435596424
96,40.64783900000001,-73.973228,2018,American beech,330.0,2,0.0
97,40.652672,-73.98745699999998,2017,American beech,311.1764705882353,34,20.99418474783866
98,40.652672,-73.98745699999998,2017,black oak,319.85714285714283,14,9.867250749962583
99,40.652672,-73.98745699999998,2017,northern red oak,321.975,40,12.277742004047363
100,40.652672,-73.98745699999998,2017,sweetgum,323.40625,32,10.165911967405195
101,40.652672,-73.98745699999998,2017,tuliptree,324.55555555555554,9,7.633988327065859
102,40.652672,-73.98745699999998,2018,American beech,313.1111111111111,18,7.202033118901343
103,40.652672,-73.98745699999998,2018,black oak,318.1111111111111,18,9.609363625185901
104,40.652672,-73.98745699999998,2018,flowering dogwood,293.17241379310343,29,21.957863813477637
105,40.652672,-73.98745699999998,2018,northern red oak,317.48387096774195,31,10.623467631434147
106,40.652672,-73.98745699999998,2018,sugar maple,308.0,4,6.5319726474218145
107,40.652672,-73.98745699999998,2018,sweetgum,310.22727272727275,22,11.83993170098472
108,40.652672,-73.98745699999998,2018,tuliptree,302.25,8,14.350211546474558
109,40.652672,-73.98745699999998,2018,white oak,325.0,9,10.594810050208542
110,40.652672,-73.98745699999998,2019,American beech,296.6666666666667,6,8.115828156551038
111,40.652672,-73.98745699999998,2019,black oak,311.6666666666667,6,7.711463328491334
112,40.652672,-73.98745699999998,2019,flowering dogwood,273.8235294117647,17,19.580715302682542
113,40.652672,-73.98745699999998,2019,northern red oak,312.9,10,6.367451958550179
114,40.652672,-73.98745699999998,2019,sugar maple,304.0,4,6.0553007081949906
115,40.652672,-73.98745699999998,2019,sweetgum,304.0,10,12.666666666666673
116,40.652672,-73.98745699999998,2019,tuliptree,299.6666666666667,6,12.64383907943575
117,40.652672,-73.98745699999998,2019,white oak,320.0,1,
118,40.655563,-73.997101,2017,flowering dogwood,324.4,5,9.235799911215063
119,40.655563,-73.997101,2017,northern red oak,325.5,10,7.516648189186455
120,40.655563,-73.997101,2017,sugar maple,321.0,2,4.242640687119285
121,40.655563,-73.997101,2017,sweetgum,336.90909090909093,11,13.080172364724742
122,40.655563,-73.997101,2017,tuliptree,317.6818181818182,22,13.527349241044137
123,40.655563,-73.997101,2017,white oak,322.1666666666667,6,9.90790929846789
124,40.655563,-73.997101,2018,flowering dogwood,294.14285714285717,14,23.970678058690922
125,40.655563,-73.997101,2018,northern red oak,319.3888888888889,18,9.623127098994306
126,40.655563,-73.997101,2018,sugar maple,306.5,6,5.958187643906496
127,40.655563,-73.997101,2018,sweetgum,308.0,9,30.834234221073167
128,40.655563,-73.997101,2018,tuliptree,310.06060606060606,33,16.456266651984336
129,40.655563,-73.997101,2018,white oak,298.15384615384613,13,27.919068017653437
130,40.669498,-73.965942,2019,northern red oak,312.0,3,0.0
131,40.669498,-73.965942,2019,red maple,312.0,2,0.0
132,40.669498,-73.965942,2019,sweetgum,312.0,2,0.0
133,40.699333,-73.646423,2012,silver maple,300.3333333333333,6,9.811557810392108
134,40.699333,-73.646423,2013,silver maple,327.625,8,8.517838424657509
135,40.710247,-77.956192,2012,pignut hickory,291.7647058823529,17,8.656857193611785
136,40.710247,-77.956192,2012,sugar maple,291.25,16,8.667948623136464
137,40.710247,-77.956192,2012,tuliptree,284.25,24,12.598309065281258
138,40.710247,-77.956192,2012,white oak,292.53333333333336,15,7.22956891292051
139,40.710739,-73.61367,2018,silver maple,317.5,2,2.1213203435596424
140,40.713062,-73.59859499999997,2012,Norway maple,306.6666666666667,9,12.92284798332009
141,40.713062,-73.59859499999997,2013,Norway maple,310.14285714285717,14,15.271175174451713
142,40.713062,-73.59859499999997,2014,Norway maple,298.5,12,12.529964086141675
143,40.713062,-73.59859499999997,2017,Norway maple,258.0,1,
144,40.713062,-73.59859499999997,2018,Norway maple,289.88235294117646,17,16.918489711485662
145,40.713669,-73.599754,2012,northern red oak,316.05555555555554,18,21.37748189161072
146,40.713669,-73.599754,2013,northern red oak,292.0,24,24.564024595896832
147,40.713669,-73.599754,2014,northern red oak,300.0,23,24.293657982729105
148,40.713669,-73.599754,2017,northern red oak,323.3333333333333,9,13.095800853708795
149,40.713692,-73.604042,2012,sweetgum,302.625,8,14.706048318391208
150,40.713692,-73.604042,2013,sweetgum,309.0,13,13.165611772087681
151,40.713692,-73.604042,2014,sweetgum,309.6923076923077,13,14.630929654813539
152,40.713692,-73.604042,2017,sweetgum,309.25,8,8.956242834709522
153,40.714325,-73.59906,2012,flowering dogwood,275.27272727272725,11,11.524677080863533
154,40.714325,-73.59906,2013,flowering dogwood,305.25,4,7.588368291888134
155,40.714325,-73.59906,2014,flowering dogwood,291.8,5,7.0498226928058285
156,40.714325,-73.59906,2018,flowering dogwood,295.61538461538464,13,13.022662692005172
157,40.714447,-73.596886,2012,tuliptree,323.14285714285717,14,17.2218874283107
158,40.714447,-73.596886,2014,tuliptree,304.6666666666667,15,15.448840301675292
159,40.715275,-73.599762,2012,pin oak,275.5833333333333,12,16.654010346041588
160,40.715275,-73.599762,2014,pin oak,286.0,3,8.717797887081348
161,40.716568,-73.598534,2017,silver maple,324.0,1,
